Date,Open,High,Low,Close,EMA10,Smoothing Line10,EMA40,Smoothing Line40,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES,Sentiment Avg,H/L%
2/26/14,90.57,90.84,89.87,90.23,87.75904385,87.48897932,89.6399933,89.2950763,88.024,92.35309413,83.69490587,42968334,40136631.85,60.73505446,59.0169448,5.040745052,-10.30405405,0.214420048,1.001900188,0.787480141,74.44151988,90.43669447,1.147418908,90.01332799,0.076800326,0.010793368
2/27/14,89.87,90.53,89.73,90.44,87.8898222,87.62434618,89.78544906,89.47124425,88.2995,92.50548371,84.09351629,28750313,38970919.2,61.30421475,59.79365632,5.346534653,-8.26446281,0.17634323,1.007909178,0.831565948,75.63871515,84.78586123,1.005137369,90.07832959,0.071111729,0.008915636
2/28/14,90.41,90.96,89.54,90.34,88.00934307,87.75710978,89.8862765,89.63029075,88.4915,92.70195496,84.28104504,48623159,38058896.05,60.86791083,60.22917731,6.369951725,-16.53333333,0.12927022,0.993153723,0.863883503,66.93644026,79.70756689,0.649371319,90.18683071,0.065503651,0.015858834
3/3/14,89.48,89.91,88.87,89.67,88.09035072,87.8761776,89.8469535,89.73351061,88.6615,92.77283689,84.55016311,38946845,37746392.55,57.99605618,60.36633621,3.664739884,-42.01954397,0.042355515,0.916827897,0.874472382,39.06870436,68.1370354,-0.245536246,90.2327815,0.061732865,0.011702487
3/4/14,90.63,90.98,90.56,90.81,88.22301654,87.99431528,90.02205287,89.83614505,88.9875,92.67249593,85.30250407,33213909,36126227.7,61.2283361,60.55696233,5.262547815,-6.343283582,0.050438455,0.937520451,0.887081996,82.8079741,67.77867075,0.861576542,90.06394705,0.057659885,0.004637809
3/5/14,90.9698,91.22,90.77,91.06,88.36140598,88.1147877,90.21077053,89.95030049,89.295,92.57140352,86.01859648,27220604,35597197.15,61.89608634,60.76602828,8.031794993,-5.479452055,0.060727677,0.962991592,0.902263915,94.58735263,71.8078373,0.971827305,90.28776293,0.055384137,0.004957585
3/6/14,91.25,91.335,90.65,90.98,88.48914227,88.23465172,90.35063043,90.06333677,89.6095,92.19132474,87.02767526,24086220,34703047.95,61.54385765,60.83762322,7.148745731,-14.40162272,0.050662135,0.965591584,0.914929449,97.12109133,76.10431253,0.775365529,90.51943405,0.055436513,0.007556536
3/7/14,91.27,91.36,90.071,90.53,88.58869631,88.35052236,90.38324308,90.16273008,89.8475,91.76070543,87.93429457,31174837,34644887.15,59.5638925,60.73753086,6.895737395,-33.33333333,0.00463827,0.920727287,0.916089016,63.45885635,75.40879575,0.219825405,90.65760384,0.054425834,0.014310932
3/10/14,90.48,90.655,90.03,90.61,88.68729649,88.46991152,90.42447161,90.2782337,90.013,91.55219589,88.47380411,18138198,33628434.95,59.80263968,60.58051594,5.642998718,-30.12048193,-0.027698138,0.881466344,0.909164482,67.87175989,81.16940686,0.279841897,90.61932269,0.053765624,0.00694213
3/11/14,90.83,91.055,89.95,90.22,88.76206251,88.57772071,90.38729495,90.35128212,90.134,91.2914351,88.9765649,27505046,33492429.4,58.06698537,60.46503547,3.344788087,-45.78313253,-0.079691558,0.809550034,0.889241592,12.51273098,67.11035823,-0.198326472,90.61652588,0.053698682,0.012284603
3/12/14,89.82,90.61,89.48,90.56,88.84976678,88.67539287,90.41869587,90.39286719,90.222,91.21651697,89.22748303,27997215,32958188.4,59.14057873,60.3524695,3.143507973,-32.12851406,-0.094511504,0.771102213,0.865613716,58.28591136,59.85006998,0.137429903,90.49756812,0.053857591,0.01262852
3/13/14,90.9,90.93,88.87,89.28,88.87075377,88.75171517,90.21166026,90.36507316,90.2375,91.16057909,89.31442091,48541951,33758635.55,53.75960056,59.88826274,0.540540541,-83.53413655,-0.188424154,0.630083524,0.818507678,-173.1073446,5.804382789,-1.22723142,90.51629768,0.055784267,0.023179926
